k_ar_diff,trace_r0,cv95_r0,reject_r0,trace_r1,cv95_r1,reject_r1,margin_r1_pct,rank_mechanical,beta
1,32.16655220265038,15.4943,True,5.71455329488918,3.8415,True,48.758383310924906,2,0.8869422964504791
2,29.071422549320786,15.4943,True,5.354904410451399,3.8415,True,39.396184054442266,2,0.8890633869269965
3,28.2306497685502,15.4943,True,5.1483645410931755,3.8415,True,34.01964183504297,2,0.8892001363963341
5,27.293275800274046,15.4943,True,5.690137551325201,3.8415,True,48.1228049284186,2,0.8913155242450493
8,23.272301463436545,15.4943,True,5.117475123229943,3.8415,True,33.21554401223333,2,0.8884445678679321
