entry_z,exit_z,n_trades,sharpe_net,net_pnl,hit_rate,avg_hold_d
1.5,0.0,22,0.21560504392246707,20.244030073471556,0.6363636363636364,37.13636363636363
1.5,0.5,23,0.13788685231243117,13.024450490152265,0.6086956521739131,31.347826086956523
1.5,1.0,29,0.08783258318443954,8.48384409322051,0.5517241379310345,21.17241379310345
2.0,0.0,18,0.24722438269328623,20.132322035001486,0.5555555555555556,35.05555555555556
2.0,0.5,19,0.18188916321405973,14.129308539384652,0.5263157894736842,29.0
2.0,1.0,22,0.19827474250759802,14.381925043208657,0.5454545454545454,19.727272727272727
2.5,0.0,12,0.34834032808035054,25.925741700983615,0.5,42.0
2.5,0.5,12,0.3048256866438307,22.04872129459415,0.5,35.333333333333336
2.5,1.0,13,0.3286750520145642,21.997012805096517,0.5384615384615384,25.153846153846153
3.0,0.0,10,0.21948985439077456,17.020331602699574,0.5,39.3
3.0,0.5,10,0.23245703123083492,17.57896824428633,0.5,35.8
3.0,1.0,10,0.2845084276708219,19.297034629398077,0.5,26.6
