specification,folds_traded,n_trades,sharpe_net,net_pnl,max_dd
"base (AIC lag, exclude 04-20, 756d train)",13,19,0.18188916321405973,14.129308539384652,-13.584738704610439
EG lag selection = BIC,18,20,0.2106174907906096,15.979244543746335,-13.584738704610439
EG gate p<0.05 (stricter),10,17,0.00828454240360547,1.335016558644749,-15.01321331542437
EG gate p<1.00 (no gate),31,29,-0.03742746321197083,16.79424963588352,-67.08426184516192
also exclude 2020-04-21,13,19,0.1817125277524696,14.114955984421306,-13.584738704610439
train window = 504 days,14,22,0.03287022094204553,1.020835094531539,-17.143451278028962
train window = 1008 days,16,12,-0.02952524970538895,25.70859241657312,-61.110939953465675
purge gap = 0 days,13,17,0.07144128727525773,4.216975221811655,-17.099257200174275
purge gap = 42 days,13,18,0.09441875746121033,7.962811819972785,-15.19965879101367
